Year,lnY,lnL,lnK
1990,10.377,5.043,9.943
1991,10.436,5.079,10.033
1992,10.34,5.079,10.081
1993,10.205,5.03,10.131
1994,10.176,4.961,10.165
1995,10.263,4.949,10.198
1996,10.315,4.976,10.234
1997,10.335,4.982,10.273
1998,10.269,4.954,10.316
1999,10.203,4.934,10.338
2000,10.274,4.924,10.365
2001,10.217,4.915,10.389
2002,10.136,4.876,10.391
2003,10.197,4.857,10.414
