i,lnY,lnL
1,13.83,9.04
2,13.49,8.63
3,12.5,8.14
4,11.54,7.44
5,11.19,6.82
6,10.66,6.54
7,10.86,6.5
8,10.74,6.48
9,9.92,6.25
10,9.84,6.11
11,10.18,5.98
12,10.27,5.93
13,9.77,5.75
14,9.54,5.51
15,9.57,5.41
16,10.21,5.28
17,8.77,5.13
18,9.06,4.71
19,8.96,4.69
20,8.91,4.52
21,8.62,4.52
22,7.39,3.99
23,7.77,3.91
