i,lnY,lnL,lnK,D
1,26.68,16.07,27.23,0
2,25.99,15.17,26.66,0
3,26.15,15.3,26.74,0
4,27.29,16.6,27.71,1
5,25.79,14.87,26.17,0
6,25.51,14.77,26.02,0
7,27.91,17.08,28.39,0
8,28.27,17.51,28.91,0
9,22.85,12.01,23.27,0
10,27.7,16.99,28.22,0
11,29.19,18.03,30.15,0
12,23.7,12.16,24.14,0
13,26.64,15.91,27.22,0
14,27.09,16.74,27.78,0
15,26.2,15.34,26.58,0
16,27.99,17.22,28.28,0
17,29.91,18.81,30.22,1
